,alpha Estimate,Beta Estimate,alpha Std. Error,Beta Estimate Std. Error,alpha p-value,beta p-value
190,0.000127345,0.001701696,8.82E-06,0.000349869,4.61E-43,1.34E-06
191,0.000127503,0.001714291,8.79E-06,0.000348497,1.87E-43,1.01E-06
192,0.000127819,0.001729765,8.75E-06,0.000347109,6.00E-44,7.35E-07
193,0.000128156,0.00174475,8.72E-06,0.000345711,1.83E-44,5.33E-07
194,0.000128442,0.001756949,8.68E-06,0.000344321,5.95E-45,4.00E-07
195,0.000128789,0.001768207,8.65E-06,0.000342966,1.78E-45,3.04E-07
196,0.000129156,0.001781447,8.62E-06,0.000341647,5.21E-46,2.24E-07
197,0.000129448,0.001795668,8.58E-06,0.000340321,1.67E-46,1.61E-07
198,0.000129717,0.001813437,8.55E-06,0.000338871,5.08E-47,1.08E-07
199,0.000129941,0.001830895,8.51E-06,0.000337515,1.72E-47,7.27E-08
200,0.000130108,0.001842329,8.48E-06,0.000336229,6.48E-48,5.39E-08
201,0.000130295,0.001853291,8.45E-06,0.000335011,2.44E-48,4.03E-08
202,0.000130406,0.001864248,8.42E-06,0.000333751,9.98E-49,2.99E-08
203,0.000130477,0.00187756,8.39E-06,0.000332503,4.32E-49,2.13E-08
204,0.000130579,0.001896402,8.36E-06,0.000331323,1.84E-49,1.37E-08
205,0.000130685,0.00191178,8.33E-06,0.00033012,7.62E-50,9.33E-09
206,0.000130736,0.00192191,8.29E-06,0.000328853,3.27E-50,6.86E-09
207,0.000130736,0.001934232,8.26E-06,0.000327587,1.51E-50,4.83E-09
208,0.000130777,0.001944686,8.23E-06,0.000326314,6.45E-51,3.49E-09
209,0.00013078,0.001949224,8.20E-06,0.000325109,3.03E-51,2.82E-09
210,0.000130756,0.001952504,8.17E-06,0.000324002,1.56E-51,2.35E-09
211,0.000130772,0.001955489,8.14E-06,0.000322928,7.71E-52,1.97E-09
212,0.000130775,0.001956618,8.12E-06,0.00032183,3.79E-52,1.71E-09
213,0.000130674,0.001954185,8.09E-06,0.000320786,2.27E-52,1.59E-09
214,0.000130634,0.00195403,8.06E-06,0.000319697,1.19E-52,1.40E-09
215,0.000130674,0.001953784,8.04E-06,0.00031862,5.50E-53,1.24E-09
216,0.000130832,0.00195617,8.01E-06,0.000317447,1.95E-53,1.04E-09
217,0.000131129,0.001960522,7.97E-06,0.000316118,4.93E-54,8.13E-10
218,0.000131469,0.001966386,7.94E-06,0.000314797,1.15E-54,6.18E-10
219,0.000131788,0.001971856,7.91E-06,0.000313489,2.74E-55,4.72E-10
220,0.000131994,0.001975607,7.87E-06,0.000312264,8.23E-56,3.76E-10
221,0.000132006,0.001976897,7.85E-06,0.000311175,3.73E-56,3.19E-10
222,0.000131896,0.001974699,7.82E-06,0.000310224,2.27E-56,2.95E-10
223,0.000131638,0.001971779,7.80E-06,0.000309395,1.94E-56,2.82E-10
224,0.000131173,0.001963217,7.79E-06,0.000308724,2.63E-56,3.07E-10
225,0.000130746,0.00195493,7.77E-06,0.000308085,3.42E-56,3.35E-10
226,0.000130343,0.001945622,7.75E-06,0.000307501,4.45E-56,3.75E-10
227,0.000129997,0.001935376,7.74E-06,0.000306932,5.31E-56,4.29E-10
228,0.000129738,0.001931087,7.72E-06,0.000306256,5.07E-56,4.29E-10
229,0.000129517,0.001928578,7.70E-06,0.000305519,4.34E-56,4.11E-10
230,0.000129374,0.001923881,7.68E-06,0.000304719,3.10E-56,4.08E-10
231,0.000129192,0.001919818,7.66E-06,0.000303844,2.24E-56,3.96E-10
232,0.000128926,0.001914227,7.64E-06,0.000303048,1.98E-56,4.00E-10
233,0.000128531,0.001902897,7.62E-06,0.000302286,2.23E-56,4.58E-10
234,0.000128266,0.001901743,7.60E-06,0.000301451,1.91E-56,4.21E-10
235,0.000128012,0.001894938,7.58E-06,0.000300588,1.57E-56,4.33E-10
236,0.000127861,0.001883303,7.56E-06,0.000299627,9.98E-57,4.86E-10
237,0.000127847,0.001873525,7.53E-06,0.000298672,5.00E-57,5.25E-10
238,0.000127949,0.001865111,7.51E-06,0.000297699,2.00E-57,5.51E-10
239,0.000128132,0.001856178,7.48E-06,0.000296713,6.81E-58,5.84E-10
240,0.000128342,0.001850982,7.46E-06,0.000295768,2.26E-58,5.75E-10
241,0.000128552,0.001846923,7.44E-06,0.000294874,7.70E-59,5.57E-10
